Substances,,occupation/transformation,,amount-notused,unit-notused,,amount,unit
Raw,(unspecified),"Occupation, forest, extensive, AM",,2.17131701,m2a,,2.17132E-15,m2a
Raw,(unspecified),"Occupation, forest, extensive, AO",,7.79157009,m2a,,7.79157E-16,m2a
Raw,(unspecified),"Occupation, forest, extensive, AQ",,1.76660798,m2a,,1.77E-15,m2a
Raw,(unspecified),"Occupation, forest, extensive, AR",,8.72153490,m2a,,8.72153E-16,m2a
Raw,(unspecified),"Occupation, forest, extensive, AS",,1.48655614,m2a,,1.48656E-13,m2a
Raw,(unspecified),"Occupation, forest, extensive, AT",,9.90082388,m2a,,9.90082E-16,m2a
Raw,(unspecified),"Occupation, forest, extensive, AU",,1.10085779,m2a,,1.10086E-15,m2a
Raw,(unspecified),"Occupation, forest, extensive, AW",,8.86869136,m2a,,8.86869E-15,m2a
Raw,(unspecified),"Occupation, forest, extensive, AZ",,1.98950267,m2a,,1.9895E-15,m2a
Raw,(unspecified),"Occupation, forest, extensive, BA",,1.12705683,m2a,,1.12706E-15,m2a
